League,PlayerName,Stat,PropLine,Type
NBA,Anfernee Simons + Kevin Durant,Points (Combo),45.5,standard
NBA,Deandre Ayton + Nick Richards,Rebounds (Combo),20.5,standard
NBA,Anfernee Simons + Devin Booker,Assists (Combo),11.0,standard
NBA,Anfernee Simons + Devin Booker,3-PT Made (Combo),5.5,standard
NBA,Stephen Curry + Franz Wagner,Points (Combo),48.0,standard
NBA,Stephen Curry + Paolo Banchero,3-PT Made (Combo),5.5,standard
NBA,Franz Wagner,Pts+Rebs,30.0,standard
NBA,Franz Wagner,Points,24.5,standard
NBA,Franz Wagner,Pts+Asts,29.0,standard
NBA,Franz Wagner,Fantasy Score,40.0,standard
NBA,Franz Wagner,Blks+Stls,1.5,standard
NBA,Franz Wagner,Rebs+Asts,9.5,standard
NBA,Franz Wagner,Pts+Rebs+Asts,34.5,standard
NBA,Franz Wagner,Turnovers,2.5,standard
NBA,Stephen Curry,FG Attempted,18.5,standard
NBA,Stephen Curry,3-PT Attempted,10.0,standard
NBA,Stephen Curry,Fantasy Score,38.5,standard
NBA,Stephen Curry,Offensive Rebounds,0.5,standard
NBA,Stephen Curry,Rebs+Asts,10.0,standard
NBA,Stephen Curry,Pts+Asts,29.5,standard
NBA,Stephen Curry,Pts+Rebs,27.5,standard
NBA,Stephen Curry,Defensive Rebounds,4.0,standard
NBA,Stephen Curry,FG Made,8.0,standard
NBA,Stephen Curry,Pts+Rebs+Asts,33.5,standard
NBA,Stephen Curry,Points,23.5,standard
NBA,Stephen Curry,Free Throws Made,3.5,standard
NBA,Stephen Curry,Assists,5.5,standard
NBA,Paolo Banchero,Rebounds,7.0,standard
NBA,Andrew Wiggins,Offensive Rebounds,1.5,standard
NBA,Andrew Wiggins,3-PT Attempted,5.0,standard
NBA,Andrew Wiggins,FG Made,6.5,standard
NBA,Andrew Wiggins,Defensive Rebounds,3.0,standard
NBA,Andrew Wiggins,Dunks,0.5,standard
NBA,Paolo Banchero,3-PT Made,1.5,standard
NBA,Paolo Banchero,Pts+Rebs+Asts,35.0,standard
NBA,Paolo Banchero,Fantasy Score,39.5,standard
NBA,Paolo Banchero,Points,22.5,standard
NBA,Paolo Banchero,Rebs+Asts,12.0,standard
NBA,Paolo Banchero,Pts+Asts,28.0,standard
NBA,Andrew Wiggins,Free Throws Made,3.0,standard
NBA,Paolo Banchero,Pts+Rebs,30.5,standard
NBA,Andrew Wiggins,FG Attempted,15.0,standard
NBA,Andrew Wiggins,Fantasy Score,30.5,standard
NBA,Andrew Wiggins,Rebounds,5.0,standard
NBA,Buddy Hield,3-PT Attempted,6.0,standard
NBA,Buddy Hield,FG Made,3.5,standard
NBA,Buddy Hield,Offensive Rebounds,0.5,standard
NBA,Buddy Hield,FG Attempted,8.5,standard
NBA,Andrew Wiggins,Rebs+Asts,7.0,standard
NBA,Andrew Wiggins,Turnovers,1.5,standard
NBA,Andrew Wiggins,Pts+Rebs,23.5,standard
NBA,Andrew Wiggins,Pts+Asts,20.0,standard
NBA,Andrew Wiggins,Points,18.0,standard
NBA,Andrew Wiggins,Pts+Rebs+Asts,26.0,standard
NBA,Dennis Schröder,FG Made,3.5,standard
NBA,Dennis Schröder,3-PT Attempted,3.5,standard
NBA,Dennis Schröder,FG Attempted,8.5,standard
NBA,Dennis Schröder,Free Throws Made,1.5,standard
NBA,Moses Moody,Offensive Rebounds,0.5,standard
NBA,Moses Moody,FG Made,3.0,standard
NBA,Moses Moody,3-PT Attempted,4.0,standard
NBA,Buddy Hield,Pts+Rebs,12.5,standard
NBA,Buddy Hield,Points,9.0,standard
NBA,Buddy Hield,Pts+Rebs+Asts,14.0,standard
NBA,Buddy Hield,Pts+Asts,11.5,standard
NBA,Wendell Carter Jr.,Pts+Rebs,14.5,standard
NBA,Wendell Carter Jr.,Fantasy Score,21.0,standard
NBA,Wendell Carter Jr.,Pts+Rebs+Asts,16.5,standard
NBA,Wendell Carter Jr.,Assists,1.5,standard
NBA,Wendell Carter Jr.,Rebounds,6.5,standard
NBA,Wendell Carter Jr.,Rebs+Asts,8.0,standard
NBA,Wendell Carter Jr.,Points,8.5,standard
NBA,Dennis Schröder,Points,9.5,standard
NBA,Dennis Schröder,Rebs+Asts,6.5,standard
NBA,Dennis Schröder,Pts+Rebs+Asts,15.5,standard
