League,PlayerName,Stat,PropLine,Type
NFL,Patrick Mahomes,Completion Percentage,68.1,standard
NFL,Jalen Hurts,Completion Percentage,67.3,standard
NFL,Jalen Hurts,Sacks Taken,3.0,standard
NFL,Travis Kelce,Receiving Yards,61.5,standard
NFL,Saquon Barkley,Rush Yards,115.5,standard
NFL,Nolan Smith,Sacks,0.25,standard
NFL,Patrick Mahomes,Sacks Taken,2.5,standard
NFL,Darius Slay,Pass Deflections,1.0,standard
NFL,Saquon Barkley,Rush+Rec TDs,0.5,goblin
NFL,Saquon Barkley,Rush+Rec TDs,1.5,demon
NFL,Patrick Mahomes,Fantasy Score,20.5,standard
NFL,Patrick Mahomes,Pass Yards,250.5,standard
NFL,Travis Kelce,Rec Targets,8.0,standard
NFL,Patrick Mahomes,Longest Completion,35.5,standard
NFL,Jalen Hurts,Pass+Rush Yds,255.5,standard
NFL,Saquon Barkley,Longest Rush,25.0,standard
NFL,Jalen Hurts,Pass Attempts,27.0,standard
NFL,Travis Kelce,Receiving Yards in First 2 Receptions,18.5,standard
NFL,Saquon Barkley,Rush Yards in First 5 Attempts,26.5,standard
NFL,Kareem Hunt,Rush Yards,45.5,standard
NFL,Travis Kelce,Rush+Rec TDs,0.5,demon
NFL,A.J. Brown,Receiving Yards,70.5,standard
NFL,Trent McDuffie,Pass Deflections,0.5,standard
NFL,Jalen Hurts,Pass Completions,18.5,standard
NFL,Jalen Hurts,Rush Attempts,9.5,standard
NFL,Jalen Hurts,Pass Yards,212.5,standard
NFL,Saquon Barkley,Rush Yards Per Carry,5.2,standard
NFL,Jake Elliott,FG Made,1.5,standard
NFL,A.J. Brown,Rec Targets,7.5,standard
NFL,Patrick Mahomes,Pass+Rush Yds,285.5,standard
NFL,Jalen Hurts,Fantasy Score,20.5,standard
NFL,Xavier Worthy,Receiving Yards,56.5,standard
NFL,Kareem Hunt,Rush Yards in First 5 Attempts,19.5,standard
NFL,Kareem Hunt,Rush Yards Per Carry,3.8,standard
NFL,Patrick Mahomes,Pass Yards,252.5,standard
NFL,Jalen Hurts,Rush Yards,40.5,standard
NFL,Jalen Hurts,Longest Completion,33.5,standard
NFL,Travis Kelce,Fantasy Score,15.0,standard
NFL,Jalen Hurts,Rush+Rec TDs,0.5,standard
NFL,A.J. Brown,Receiving Yards in First 2 Receptions,22.5,standard
NFL,C.J. Gardner-Johnson,Pass Deflections,0.5,standard
NFL,Patrick Mahomes,Longest Rush,13.5,standard
NFL,Charles Omenihu,Sacks,0.25,demon
NFL,Patrick Mahomes,Pass Attempts,36.0,standard
NFL,Patrick Mahomes,Pass Completions,24.5,standard
NFL,Patrick Mahomes,Rush Attempts,6.0,standard
NFL,Hollywood Brown,Receiving Yards in First 2 Receptions,19.5,standard
NFL,A.J. Brown,Longest Reception,25.5,standard
NFL,Jalen Hurts,Rush Yards Per Carry,4.1,standard
NFL,Jalen Hurts,Longest Rush,12.5,standard
NFL,Xavier Worthy,Rec Targets,7.5,standard
NFL,Patrick Mahomes,Rush Yards,30.5,standard
NFL,DeVonta Smith,Receiving Yards,50.5,standard
NFL,Kareem Hunt,Rush+Rec TDs,0.5,demon
NFL,Saquon Barkley,Fantasy Score,20.0,standard
NFL,A.J. Brown,Receptions,5.0,standard
NFL,Justin Reid,Pass Deflections,0.5,standard
NFL,A.J. Brown,Rush+Rec TDs,0.5,demon
NFL,Xavier Worthy,Fantasy Score,14.5,standard
NFL,Chris Jones,Sacks,0.25,demon
NFL,Xavier Worthy,Rush Yards,6.5,standard
NFL,DeVonta Smith,Receiving Yards in First 2 Receptions,22.5,standard
NFL,Xavier Worthy,Longest Reception,20.5,standard
NFL,Patrick Mahomes,Rush Yards Per Carry,4.9,standard
NFL,Isiah Pacheco,Longest Rush,8.0,standard
NFL,Xavier Worthy,Rush+Rec Yds,65.5,standard
NFL,Xavier Worthy,Receptions,5.0,standard
NFL,DeVonta Smith,Rec Targets,6.5,standard
NFL,DeVonta Smith,Longest Reception,20.5,standard
NFL,Kareem Hunt,Longest Rush,11.5,standard
NFL,Xavier Worthy,Receiving Yards in First 2 Receptions,19.5,standard
NFL,Xavier Worthy,Rush+Rec TDs,0.5,demon
NFL,DeVonta Smith,Receptions,4.5,standard
NFL,Quinyon Mitchell,Pass Deflections,0.5,standard
NFL,A.J. Brown,Fantasy Score,14.5,standard
NFL,Hollywood Brown,Rec Targets,6.0,standard
NFL,Dallas Goedert,Receiving Yards in First 2 Receptions,20.5,standard
NFL,JuJu Smith-Schuster,Longest Reception,10.0,standard
NFL,DeVonta Smith,Rush+Rec TDs,0.5,demon
NFL,Dallas Goedert,Rec Targets,6.5,standard
NFL,DeAndre Hopkins,Rec Targets,2.5,standard
NFL,Jahan Dotson,Longest Reception,1.5,standard
NFL,Jahan Dotson,Receptions,0.5,standard
NFL,Saquon Barkley,Rec Targets,2.5,standard
NFL,JuJu Smith-Schuster,Receptions,1.5,standard
NFL,DeAndre Hopkins,Longest Reception,10.5,standard
NFL,Drue Tranquill,Sacks,0.25,demon
NFL,Noah Gray,Rec Targets,2.0,standard
NFL,George Karlaftis,Sacks,0.25,standard
NFL,Patrick Mahomes + Jalen Hurts,Pass Completions (Combo),43.5,standard
NFL,Patrick Mahomes,INT,0.5,standard
NFL,Hollywood Brown,Longest Reception,18.5,standard
NFL,Patrick Mahomes + Jalen Hurts,Pass Attempts	(Combo),64.5,standard
NFL,Kareem Hunt,Rec Targets,1.5,standard
NFL,Dallas Goedert,Receiving Yards,53.5,standard
NFL,Jahan Dotson,Receiving Yards,3.5,standard
NFL,Hollywood Brown,Fantasy Score,9.0,standard
NFL,Kareem Hunt,Fantasy Score,9.5,standard
NFL,Dallas Goedert,Rush+Rec TDs,0.5,demon
NFL,DeVonta Smith,Fantasy Score,11.0,standard
NFL,Isiah Pacheco,Rec Targets,1.5,standard
NFL,Saquon Barkley,Rush+Rec Yds,130.5,standard
NFL,Harrison Butker,FG Made,2.5,demon
NFL,JuJu Smith-Schuster,Fantasy Score,3.5,standard
NFL,DeAndre Hopkins,Rush+Rec TDs,0.5,demon
NFL,DeAndre Hopkins,Receiving Yards,13.5,standard
NFL,Saquon Barkley,Rush Attempts,22.0,standard
NFL,Saquon Barkley,Longest Reception,8.5,standard
NFL,Samaje Perine,Rec Targets,1.5,standard
NFL,Isiah Pacheco,Rush+Rec Yds,28.5,standard
NFL,Isiah Pacheco,Rush Yards,21.5,standard
NFL,Isiah Pacheco,Longest Reception,4.5,standard
NFL,Dallas Goedert,Fantasy Score,11.5,standard
NFL,Hollywood Brown,Rush+Rec TDs,0.5,demon
NFL,Isiah Pacheco,Fantasy Score,5.5,standard
