,type,id,attributes.adjusted_odds,attributes.board_time,attributes.custom_image,attributes.description,attributes.end_time,attributes.flash_sale_line_score,attributes.hr_20,attributes.in_game,attributes.is_live,attributes.is_promo,attributes.line_score,attributes.odds_type,attributes.projection_type,attributes.rank,attributes.refundable,attributes.start_time,attributes.stat_display_name,attributes.stat_type,attributes.status,attributes.today,attributes.tv_channel,attributes.updated_at,relationships.duration.data.type,relationships.duration.data.id,relationships.league.data.type,relationships.league.data.id,relationships.new_player.data.type,relationships.new_player.data.id,relationships.projection_type.data.type,relationships.projection_type.data.id,relationships.score.data,relationships.stat_type.data.type,relationships.stat_type.data.id,attributes.game_id,relationships.game.data.type,relationships.game.data.id,relationships.stat_average.data.type,relationships.stat_average.data.id,attributes.trending_count,type_new_player,id_new_player,attributes.combo,attributes.display_name,attributes.image_url,attributes.league,attributes.league_id,attributes.name,attributes.position,attributes.team,relationships.league.data.type_new_player,relationships.league.data.id_new_player
0,projection,3807822,,2025-02-02T22:10:00-05:00,,PHX/POR,,,True,False,False,False,45.5,standard,Single Stat,26,True,2025-02-03T22:10:00-05:00,Points (Combo),Points (Combo),pre_game,True,,2025-02-03T12:51:40-05:00,duration,11,league,7,new_player,217962,projection_type,2,,stat_type,425,,,,,,,new_player,217962,True,Anfernee Simons + Kevin Durant,https://static.prizepicks.com/images/manual/Anfernee Simons + Kevin Durant.png,NBA,7.0,Anfernee Simons + Kevin Durant,G/F,POR/PHX,league,7
1,projection,3807823,,2025-02-02T22:10:00-05:00,,PHX/POR,,,True,False,False,False,20.5,standard,Single Stat,27,True,2025-02-03T22:10:00-05:00,Rebounds (Combo),Rebounds (Combo),pre_game,True,,2025-02-03T12:54:58-05:00,duration,11,league,7,new_player,188986,projection_type,2,,stat_type,427,,,,,,,new_player,188986,True,Deandre Ayton + Nick Richards,https://static.prizepicks.com/images/manual/Deandre Ayton + Nick Richards.png,NBA,7.0,Deandre Ayton + Nick Richards,C,POR/PHX,league,7
2,projection,3807824,,2025-02-02T22:10:00-05:00,,PHX/POR,,,True,False,False,False,11.0,standard,Single Stat,28,True,2025-02-03T22:10:00-05:00,Assists (Combo),Assists (Combo),pre_game,True,,2025-02-03T12:53:27-05:00,duration,11,league,7,new_player,186101,projection_type,2,,stat_type,426,,,,,,,new_player,186101,True,Anfernee Simons + Devin Booker,https://static.prizepicks.com/images/manual/Anfernee Simons + Devin Booker.png,NBA,7.0,Anfernee Simons + Devin Booker,G,POR/PHX,league,7
3,projection,3807825,,2025-02-02T22:10:00-05:00,,PHX/POR,,,True,False,False,False,5.5,standard,Single Stat,29,True,2025-02-03T22:10:00-05:00,3-PT Made (Combo),3-PT Made (Combo),pre_game,True,,2025-02-03T12:52:22-05:00,duration,11,league,7,new_player,186101,projection_type,2,,stat_type,428,,,,,,,new_player,186101,True,Anfernee Simons + Devin Booker,https://static.prizepicks.com/images/manual/Anfernee Simons + Devin Booker.png,NBA,7.0,Anfernee Simons + Devin Booker,G,POR/PHX,league,7
4,projection,3807826,,2025-02-01T12:21:00-05:00,,ORL/GSW,,,True,False,False,False,48.0,standard,Single Stat,30,True,2025-02-03T22:10:00-05:00,Points (Combo),Points (Combo),pre_game,True,,2025-02-03T15:22:30-05:00,duration,11,league,7,new_player,183206,projection_type,2,,stat_type,425,NBA_game_67kwXCH0wk9bxxlrOciCiDF4,game,44767,,,,new_player,183206,True,Stephen Curry + Franz Wagner,https://static.prizepicks.com/images/manual/Stephen Curry + Franz Wagner.png,NBA,7.0,Stephen Curry + Franz Wagner,G/F,GSW/ORL,league,7
5,projection,3807829,,2025-02-01T12:21:00-05:00,,ORL/GSW,,,True,False,False,False,5.5,standard,Single Stat,33,True,2025-02-03T22:10:00-05:00,3-PT Made (Combo),3-PT Made (Combo),pre_game,True,,2025-02-03T13:56:33-05:00,duration,11,league,7,new_player,183205,projection_type,2,,stat_type,428,NBA_game_67kwXCH0wk9bxxlrOciCiDF4,game,44767,,,,new_player,183205,True,Stephen Curry + Paolo Banchero,https://static.prizepicks.com/images/manual/Stephen Curry + Paolo Banchero.png,NBA,7.0,Stephen Curry + Paolo Banchero,G/F,GSW/ORL,league,7
6,projection,3806116,,2025-02-02T22:00:00-05:00,,GSW,,,True,False,False,False,30.0,standard,Single Stat,450,True,2025-02-03T22:10:00-05:00,Pts+Rebs,Pts+Rebs,pre_game,True,,2025-02-03T19:02:46-05:00,duration,11,league,7,new_player,55372,projection_type,2,,stat_type,243,NBA_game_67kwXCH0wk9bxxlrOciCiDF4,game,44767,stat_average,75430,,new_player,55372,False,Franz Wagner,https://static.prizepicks.com/images/players/NBA/Franz_Wagner_NBA_player_ADVHCGrSiQgQ2jmJ9hs3oR7u.webp,NBA,7.0,Franz Wagner,F,ORL,league,7
7,projection,3805956,,2025-02-02T22:00:00-05:00,,GSW,,,True,False,False,False,24.5,standard,Single Stat,450,True,2025-02-03T22:10:00-05:00,Points,Points,pre_game,True,,2025-02-03T16:13:47-05:00,duration,11,league,7,new_player,55372,projection_type,2,,stat_type,19,NBA_game_67kwXCH0wk9bxxlrOciCiDF4,game,44767,stat_average,75345,7664.0,new_player,55372,False,Franz Wagner,https://static.prizepicks.com/images/players/NBA/Franz_Wagner_NBA_player_ADVHCGrSiQgQ2jmJ9hs3oR7u.webp,NBA,7.0,Franz Wagner,F,ORL,league,7
8,projection,3806128,,2025-02-02T22:00:00-05:00,,GSW,,,True,False,False,False,29.0,standard,Single Stat,450,True,2025-02-03T22:10:00-05:00,Pts+Asts,Pts+Asts,pre_game,True,,2025-02-03T15:21:42-05:00,duration,11,league,7,new_player,55372,projection_type,2,,stat_type,244,NBA_game_67kwXCH0wk9bxxlrOciCiDF4,game,44767,stat_average,75440,,new_player,55372,False,Franz Wagner,https://static.prizepicks.com/images/players/NBA/Franz_Wagner_NBA_player_ADVHCGrSiQgQ2jmJ9hs3oR7u.webp,NBA,7.0,Franz Wagner,F,ORL,league,7
9,projection,3810090,,2025-02-02T22:00:00-05:00,,GSW,,,True,False,False,False,40.0,standard,Fantasy Score,450,True,2025-02-03T22:10:00-05:00,Fantasy Score,Fantasy Score,pre_game,True,,2025-02-03T15:01:33-05:00,duration,11,league,7,new_player,55372,projection_type,1,,stat_type,14,NBA_game_67kwXCH0wk9bxxlrOciCiDF4,game,44767,stat_average,78249,,new_player,55372,False,Franz Wagner,https://static.prizepicks.com/images/players/NBA/Franz_Wagner_NBA_player_ADVHCGrSiQgQ2jmJ9hs3oR7u.webp,NBA,7.0,Franz Wagner,F,ORL,league,7
