GAME_ID,TEAM_ID,TEAM_CITY,TEAM_NAME,PLAYER_ID,FIRST_NAME,LAST_NAME,MINUTES,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,TREB,AST,STL,BLK,TO,PTS,+/-,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE
0022400700,1610612764,Washington,Wizards,1642273,Kyshawn,George,18:13,2,4,0.5,2,4,0.5,0,0,0.0,2,2,4,1,0,1,0,6,1.0,117.7,113.2,111.0,110.5,6.8,2.6,0.077,0.0,20.0,0.091,0.111,0.1,0.0,0.75,0.75,0.091,0.094,97.97,100.13,83.44,38.0,0.056
0022400700,1610612764,Washington,Wizards,1628398,Kyle,Kuzma,30:33,8,21,0.381,3,13,0.231,3,3,1.0,1,3,4,2,1,0,2,22,-7.0,109.0,105.9,114.7,116.2,-5.7,-10.3,0.118,1.0,7.7,0.023,0.103,0.056,7.7,0.452,0.493,0.304,0.312,105.99,106.84,89.03,68.0,0.092
0022400700,1610612764,Washington,Wizards,202685,Jonas,Valančiūnas,28:40,6,14,0.429,0,1,0.0,2,3,0.667,8,9,17,4,0,0,1,14,-4.0,120.1,118.0,125.2,128.8,-5.2,-10.8,0.19,4.0,20.0,0.216,0.346,0.27,5.0,0.429,0.457,0.222,0.225,101.0,100.47,83.72,61.0,0.121
0022400700,1610612764,Washington,Wizards,1641731,Bilal,Coulibaly,37:16,9,16,0.563,4,8,0.5,4,5,0.8,0,5,5,3,2,0,0,26,-5.0,118.3,114.8,123.2,125.6,-4.9,-10.8,0.12,0.0,14.3,0.0,0.135,0.06,0.0,0.688,0.714,0.191,0.197,101.86,102.4,85.33,81.0,0.141
0022400700,1610612764,Washington,Wizards,1629673,Jordan,Poole,31:38,2,11,0.182,2,8,0.25,0,0,0.0,0,3,3,6,1,2,3,6,-4.0,119.3,116.4,123.0,126.2,-3.7,-9.7,0.222,2.0,30.0,0.0,0.097,0.043,15.0,0.273,0.273,0.175,0.179,100.21,100.15,83.46,67.0,0.02
0022400700,1610612764,Washington,Wizards,1630557,Corey,Kispert,28:35,9,13,0.692,5,9,0.556,2,2,1.0,2,2,4,4,1,0,2,25,20.0,135.4,136.1,101.2,105.0,34.3,31.1,0.19,2.0,20.0,0.063,0.065,0.063,10.0,0.885,0.901,0.219,0.218,103.75,101.6,84.66,61.0,0.171
0022400700,1610612764,Washington,Wizards,1642267,Bub,Carrington,12:20,2,6,0.333,0,3,0.0,0,0,0.0,1,0,1,1,0,0,0,4,-2.0,109.0,112.5,123.7,126.1,-14.7,-13.6,0.111,0.0,14.3,0.067,0.0,0.033,0.0,0.333,0.333,0.2,0.195,93.79,91.46,76.22,24.0,0.029
0022400700,1610612764,Washington,Wizards,1626158,Richaun,Holmes,18:40,0,2,0.0,0,1,0.0,0,0,0.0,3,7,10,1,0,0,0,0,13.0,123.5,121.4,93.5,95.0,30.0,26.4,0.059,0.0,33.3,0.143,0.318,0.233,0.0,0.0,0.0,0.041,0.041,105.33,105.43,87.86,42.0,0.056
0022400700,1610612764,Washington,Wizards,1627763,Malcolm,Brogdon,21:33,4,9,0.444,0,2,0.0,8,10,0.8,1,3,4,7,0,0,2,16,12.0,121.7,120.4,98.2,100.0,23.5,20.4,0.467,3.5,31.8,0.038,0.125,0.08,9.1,0.444,0.597,0.273,0.275,107.27,106.91,89.1,49.0,0.176
0022400700,1610612764,Washington,Wizards,1630551,Justin,Champagnie,12:32,2,3,0.667,1,2,0.5,0,0,0.0,0,2,2,0,1,2,0,5,26.0,148.5,144.8,55.6,57.1,92.9,87.7,0.0,0.0,0.0,0.0,0.118,0.065,0.0,0.833,0.833,0.088,0.09,109.23,109.15,90.96,29.0,0.165
0022400700,1610612764,Washington,Wizards,1631098,Johnny,Davis,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022400700,1610612764,Washington,Wizards,1630264,Anthony,Gill,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022400700,1610612764,Washington,Wizards,1641774,Tristan,Vukcevic,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022400700,1610612766,Charlotte,Hornets,1630182,Josh,Green,36:51,4,7,0.571,1,3,0.333,2,3,0.667,0,3,3,1,2,0,1,11,10.0,124.7,127.3,114.7,111.4,10.0,15.9,0.033,1.0,10.0,0.0,0.065,0.036,10.0,0.643,0.661,0.103,0.103,101.13,101.6,84.67,77.0,0.05
0022400700,1610612766,Charlotte,Hornets,1628970,Miles,Bridges,36:42,9,21,0.429,2,7,0.286,4,4,1.0,3,7,10,10,0,0,2,24,12.0,124.7,127.3,111.5,108.9,13.3,18.4,0.4,5.0,28.6,0.086,0.156,0.125,5.7,0.476,0.527,0.287,0.286,101.83,102.02,85.01,77.0,0.164
0022400700,1610612766,Charlotte,Hornets,1631109,Mark,Williams,32:09,7,12,0.583,0,0,0.0,9,10,0.9,2,12,14,2,1,1,0,23,2.0,116.7,119.4,119.3,113.0,-2.6,6.4,0.105,0.0,11.1,0.063,0.261,0.179,0.0,0.583,0.701,0.216,0.215,100.03,101.55,84.63,67.0,0.213
0022400700,1610612766,Charlotte,Hornets,1641733,Nick,Smith Jr.,38:54,9,16,0.563,4,7,0.571,2,2,1.0,1,3,4,2,1,0,2,24,-11.0,109.8,111.0,125.4,121.4,-15.6,-10.5,0.095,1.0,9.5,0.026,0.061,0.046,9.5,0.688,0.711,0.216,0.216,101.33,102.42,85.35,82.0,0.097
