'',gameId_advanced,teamId_advanced,teamCity_advanced,teamName_advanced,teamTricode_advanced,teamSlug_advanced,personId,firstName_advanced,familyName_advanced,nameI_advanced,playerSlug_advanced,position_advanced,comment_advanced,jerseyNum_advanced,minutes_advanced,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,gameId_traditional,teamId_traditional,teamCity_traditional,teamName_traditional,teamTricode_traditional,teamSlug_traditional,firstName_traditional,familyName_traditional,nameI_traditional,playerSlug_traditional,position_traditional,comment_traditional,jerseyNum_traditional,minutes_traditional,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,plusMinusPoints,GAME_ID
0,0022400701,1610612737,Atlanta,Hawks,ATL,hawks,1642258,Zaccharie,Risacher,Z. Risacher,zaccharie-risacher,F,,,25:40,120.5,123.7,122.5,118.6,-1.9,5.1,0.111,0.0,15.4,0.0,0.125,0.065,0.0,0.667,0.73,0.18,0.179,110.08,110.34,91.95,59.0,0.125,0022400701,1610612737,Atlanta,Hawks,ATL,hawks,Zaccharie,Risacher,Z. Risacher,zaccharie-risacher,F,,,25:40,5,9,0.556,2,6,0.333,5,6,0.833,0,3,3,2,1,0,0,1,17,3.0,0022400701
1,0022400701,1610612737,Atlanta,Hawks,ATL,hawks,1629631,De'Andre,Hunter,D. Hunter,deandre-hunter,F,,,30:44,121.4,122.1,129.9,127.9,-8.4,-5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.643,0.672,0.208,0.21,105.7,106.2,88.5,68.0,0.056,0022400701,1610612737,Atlanta,Hawks,ATL,hawks,De'Andre,Hunter,D. Hunter,deandre-hunter,F,,,30:44,7,14,0.5,4,8,0.5,2,2,1.0,0,0,0,0,0,0,0,4,20,-4.0,0022400701
2,0022400701,1610612737,Atlanta,Hawks,ATL,hawks,1630168,Onyeka,Okongwu,O. Okongwu,onyeka-okongwu,C,,,28:08,116.4,115.6,135.9,133.3,-19.5,-17.7,0.053,1.0,11.1,0.043,0.318,0.178,11.1,0.714,0.761,0.119,0.122,106.94,108.34,90.28,64.0,0.101,0022400701,1610612737,Atlanta,Hawks,ATL,hawks,Onyeka,Okongwu,O. Okongwu,onyeka-okongwu,C,,,28:08,5,7,0.714,0,1,0.0,2,2,1.0,1,7,8,1,0,2,1,3,12,-10.0,0022400701
3,0022400701,1610612737,Atlanta,Hawks,ATL,hawks,1630700,Dyson,Daniels,D. Daniels,dyson-daniels,G,,,36:25,118.3,117.5,130.4,128.8,-12.1,-11.3,0.28,1.75,26.9,0.031,0.156,0.094,15.4,0.65,0.66,0.226,0.23,104.42,105.45,87.87,80.0,0.115,0022400701,1610612737,Atlanta,Hawks,ATL,hawks,Dyson,Daniels,D. Daniels,dyson-daniels,G,,,36:25,6,10,0.6,1,1,1.0,6,10,0.6,1,5,6,7,4,3,4,3,19,-9.0,0022400701
4,0022400701,1610612737,Atlanta,Hawks,ATL,hawks,1629027,Trae,Young,T. Young,trae-young,G,,,34:56,117.6,116.5,135.7,133.8,-18.1,-17.3,0.45,1.8,25.0,0.0,0.0,0.0,13.9,0.688,0.767,0.325,0.328,105.84,107.16,89.3,79.0,0.132,0022400701,1610612737,Atlanta,Hawks,ATL,hawks,Trae,Young,T. Young,trae-young,G,,,34:56,9,16,0.563,4,8,0.5,12,14,0.857,0,0,0,9,0,0,5,5,34,-11.0,0022400701
5,0022400701,1610612737,Atlanta,Hawks,ATL,hawks,1630811,Keaton,Wallace,K. Wallace,keaton-wallace,,,,13:04,138.1,142.9,97.0,93.1,41.1,49.8,0.308,4.0,50.0,0.0,0.0,0.0,12.5,0.0,0.347,0.129,0.134,104.38,104.75,87.29,28.0,0.0,0022400701,1610612737,Atlanta,Hawks,ATL,hawks,Keaton,Wallace,K. Wallace,keaton-wallace,,,,13:04,0,2,0.0,0,0,0.0,2,2,1.0,0,0,0,4,0,0,1,3,2,13.0,0022400701
6,0022400701,1610612737,Atlanta,Hawks,ATL,hawks,1626204,Larry,Nance Jr.,L. Nance Jr.,larry-nance-jr,,,,19:52,133.0,138.1,109.7,107.0,23.3,31.1,0.154,0.0,20.0,0.091,0.4,0.238,0.0,0.75,0.75,0.174,0.172,103.31,102.68,85.57,42.0,0.217,0022400701,1610612737,Atlanta,Hawks,ATL,hawks,Larry,Nance Jr.,L. Nance Jr.,larry-nance-jr,,,,19:52,5,8,0.625,2,4,0.5,0,0,0.0,2,8,10,2,1,0,0,2,12,12.0,0022400701
7,0022400701,1610612737,Atlanta,Hawks,ATL,hawks,1630249,Vít,Krejčí,V. Krejčí,vít-krejčí,,,,28:18,127.4,128.3,129.3,124.2,-1.9,4.1,0.111,2.0,16.7,0.0,0.154,0.073,8.3,0.722,0.722,0.154,0.155,101.77,103.46,86.22,60.0,0.096,0022400701,1610612737,Atlanta,Hawks,ATL,hawks,Vít,Krejčí,V. Krejčí,vít-krejčí,,,,28:18,5,9,0.556,3,6,0.5,0,0,0.0,0,4,4,2,1,1,1,2,13,0.0,0022400701
8,0022400701,1610612737,Atlanta,Hawks,ATL,hawks,1629726,Garrison,Mathews,G. Mathews,garrison-mathews,,,,11:35,137.1,146.2,109.2,103.8,27.9,42.3,0.0,0.0,0.0,0.0,0.4,0.174,0.0,0.0,0.237,0.207,0.202,108.65,107.74,89.78,26.0,0.0,0022400701,1610612737,Atlanta,Hawks,ATL,hawks,Garrison,Mathews,G. Mathews,garrison-mathews,,,,11:35,0,5,0.0,0,3,0.0,3,3,1.0,0,4,4,0,1,0,0,3,3,11.0,0022400701
9,0022400701,1610612737,Atlanta,Hawks,ATL,hawks,1631230,Dominick,Barlow,D. Barlow,dominick-barlow,,,,11:18,124.2,124.0,109.6,104.0,14.6,20.0,0.0,0.0,0.0,0.071,0.091,0.08,0.0,0.0,0.0,0.036,0.037,103.39,106.19,88.5,25.0,0.0,0022400701,1610612737,Atlanta,Hawks,ATL,hawks,Dominick,Barlow,D. Barlow,dominick-barlow,,,,11:18,0,1,0.0,0,0,0.0,0,0,0.0,1,1,2,0,0,1,0,1,0,5.0,0022400701
